Date_ID,Full_Date,Day,Month,Month_Number,Quarter,Year
20240101,2024-01-01,1,Jan,1,Q1,2024
20240102,2024-01-02,2,Jan,1,Q1,2024
20240103,2024-01-03,3,Jan,1,Q1,2024
20240104,2024-01-04,4,Jan,1,Q1,2024
20240105,2024-01-05,5,Jan,1,Q1,2024
20240106,2024-01-06,6,Jan,1,Q1,2024
20240107,2024-01-07,7,Jan,1,Q1,2024
20240108,2024-01-08,8,Jan,1,Q1,2024
20240109,2024-01-09,9,Jan,1,Q1,2024
20240110,2024-01-10,10,Jan,1,Q1,2024
20240111,2024-01-11,11,Jan,1,Q1,2024
20240112,2024-01-12,12,Jan,1,Q1,2024
20240113,2024-01-13,13,Jan,1,Q1,2024
20240114,2024-01-14,14,Jan,1,Q1,2024
20240115,2024-01-15,15,Jan,1,Q1,2024
20240116,2024-01-16,16,Jan,1,Q1,2024
20240117,2024-01-17,17,Jan,1,Q1,2024
20240118,2024-01-18,18,Jan,1,Q1,2024
20240119,2024-01-19,19,Jan,1,Q1,2024
20240120,2024-01-20,20,Jan,1,Q1,2024
20240121,2024-01-21,21,Jan,1,Q1,2024
20240122,2024-01-22,22,Jan,1,Q1,2024
20240123,2024-01-23,23,Jan,1,Q1,2024
20240124,2024-01-24,24,Jan,1,Q1,2024
20240125,2024-01-25,25,Jan,1,Q1,2024
20240126,2024-01-26,26,Jan,1,Q1,2024
20240127,2024-01-27,27,Jan,1,Q1,2024
20240128,2024-01-28,28,Jan,1,Q1,2024
20240129,2024-01-29,29,Jan,1,Q1,2024
20240130,2024-01-30,30,Jan,1,Q1,2024
20240131,2024-01-31,31,Jan,1,Q1,2024
20240201,2024-02-01,1,Feb,2,Q1,2024
20240202,2024-02-02,2,Feb,2,Q1,2024
20240203,2024-02-03,3,Feb,2,Q1,2024
20240204,2024-02-04,4,Feb,2,Q1,2024
20240205,2024-02-05,5,Feb,2,Q1,2024
20240206,2024-02-06,6,Feb,2,Q1,2024
20240207,2024-02-07,7,Feb,2,Q1,2024
20240208,2024-02-08,8,Feb,2,Q1,2024
20240209,2024-02-09,9,Feb,2,Q1,2024
20240210,2024-02-10,10,Feb,2,Q1,2024
20240211,2024-02-11,11,Feb,2,Q1,2024
20240212,2024-02-12,12,Feb,2,Q1,2024
20240213,2024-02-13,13,Feb,2,Q1,2024
20240214,2024-02-14,14,Feb,2,Q1,2024
20240215,2024-02-15,15,Feb,2,Q1,2024
